Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
26551;BR 232 'Kalktransport' Gterzug + 6 Wagen, DB AG;BR 232 365-7;D;LP;24;L;/;/;/;K;/;/;/;/
26552;ER 20 'ALEX' Zugpackung;ALEX;D;LP;24;L;/;/;/;K;/;/;/;/
26553;BR 185.2 'Claas' Zugpackung;Claas;E;LP;24;L;/;/;/;K;/;/;/;/
26564;BR 24 + Umbauwagen, DB Zugpackung;BR 24 038;S;LP;78;L;/;/;/;K;/;/;/;/
26565;'Opel', Ep.IV Zugpackung;V28-106 OPEL;D;LP;72;L;/;/;/;K;/;/;/;/
26566;ER 20 'Polizei' Hercules Zugpackung;POLIZEI;D;LP;24;L;1;/;d;K;/;/;/;/
26571;'HVLE / VTG', BR 185.5, Ep.V/VI Zugpackung;BR 185 583-2;E;LP;24;L;/;/;/;K;/;/;/;/
26572;'ALEX' BR 223, ER 20, Ep.VI Zugpackung;BR 223 063;D;LP;24;L;/;/;/;K;/;/;/;/
26573;Lok Kl.III 'Esslingen' K.W.St.E. Wrttemberg;ESSLINGEN;S;M;3;L;/;/;/;/;/;/;/;/
26578;V 80'Landwirtschaft'DB,Ep.III Zugpackung;V 80 009;D;LP;24;L;/;/;/;K;/;/;/;/
26579;EM 3/3'Makies'Ep.V,SBB,DHG 500Henschel,Zugpackung;EM 3/3 Makies;D;LP;72;L;/;/;/;K;/;/;/;/
26586;BR 74.10 'Ostdeutscher Nahverkehr' DR, Ep.III Zugpackung;BR 74 1096;S;LP;78;L;/;/;/;K;/;/;/;/
26592;BR 213 FS Italia (K÷f II);BR 213 915;D;M;23;L;/;/;/;K;/;/;/;/
2660;Bayernzug;BAY. EP 5;E;M;52;L;/;/;/;/;/;/;/;/
26600;EMD F7 'California Zephyr' Schnellzug Western Pacific;F7 ZEPHYR;D;M;7;L;E;G;D;K+B;/;/;/;/
