
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:30.834669 can0  TX - -  18002482   [8]  02 00 00 00 33 33 35 20
16:10:30.838382 can0  RX - -  18002483   [4]  02 00 00 04
16:10:30.845734 can0  TX - -  18002482   [8]  02 00 00 04 31 30 35 2D
16:10:30.850383 can0  RX - E  18002483   [4]  02 00 00 08
16:10:30.856620 can0  TX - -  18002482   [8]  02 00 00 08 33 20 44 42
16:10:30.862379 can0  RX - -  18002483   [4]  02 00 00 0C
16:10:30.867609 can0  TX - -  18002482   [8]  02 00 00 0C 00 00 00 00
16:10:31.122322 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:31.132475 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:31.390324 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:31.403846 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:31.658327 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:31.669312 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:31.926333 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:31.936962 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:32.158525 can0  RX - -  14002403   [6]  03 00 00 08 00 01
16:10:32.166429 can0  TX - -  14002402   [6]  03 00 00 08 00 01

16:10:32.422336 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:32.436686 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:32.694344 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:32.717473 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:32.974345 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:32.988945 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:33.246342 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:33.256041 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:33.510347 can0  RX - -  0C000783   [4]  00 00 00 02
